License,Name,Street,City,State,Zip,Country,Email,Website,Type,Phone,Enrolled in subsidized program
43000585,ANGIER ELEMENTARY SCHOOL,130 E MCIVER ST,ANGIER,NC,27501,Harnett,ehodge@harnett.k12.nc.us,,Child Care Center,(919) 639-6620,No
43000021,BONITA PRICE'S CHILD DAY CARE HOME,1668 CHALYBEATE SPRINGS ROAD,ANGIER,NC,27501,Harnett,bonita.price3711@gmail.com,,Family Child Care Home,(919) 275-9860,No
43000575,ECMHSP ANGIER EDUCATIONAL CAMPUS,143 FISH DRIVE,ANGIER,NC,27501,Harnett,ncody@ecmhsp.org,,Child Care Center,(919) 639-3319,No
43000319,GARDNER'S HOME DAY CARE,181 E WIMBERLY RD,ANGIER,NC,27501,Harnett,DORMCHRISTION@MSN.COM,,Family Child Care Home,(919) 331-0538,Yes
51000546,"KIDSVILLE CHILD CARE CENTER, INC.",2235 MASSENGILL POND ROAD,ANGIER,NC,27501,Johnston,kandleslover@hotmail.com,,Child Care Center,(919) 639-8734,Yes
43000350,LITTLE MAGIC ONE'S CHILD CARE ACADEMY,32 S POPLAR STREET,ANGIER,NC,27501,Harnett,littlemagiconescca7883@yahoo.com,,Child Care Center,(919) 275-9622,Yes
51000563,MCGEE'S CROSSROADS ELEMENTARY SCHOOL,10330 NC HIGHWAY 50 N,ANGIER,NC,27501,Johnston,faithjackson@johnston.k12.nc.us,,Child Care Center,(919) 894-7161,No
43000580,MEMAWS DAYCARE,170 CALLIE COATS LANE,ANGIER,NC,27501,Harnett,miemaws17@gmail.com,,Family Child Care Home,(919) 578-0624,Yes
43000533,NORTH HARNETT PRIMARY SCHOOL,282 NORTH HARNETT SCHOOL RD,ANGIER,NC,27501,Harnett,lwilliams1@harnett.k12.nc.us,,Child Care Center,(919) 639-4480,No
43000102,TAMMY'S CHILD CARE HOME,6444 OLD STAGE RD NORTH,ANGIER,NC,27501,Harnett,tam6495@embarqmail.com,,Family Child Care Home,(919) 639-4359,No
43000415,TEA TYME LEARNING CENTER #2,122 EAST DEPOT STREET,ANGIER,NC,27501,Harnett,Pamwhite19@yahoo.com,,Child Care Center,(919) 639-5450,Yes
43000584,THE VILLAGE LEARNING ACADEMY,921 N RALEIGH ST,ANGIER,NC,27501,Harnett,villagelearningacademy@gmail.com,,Child Care Center,(919) 639-6615,Yes
51000893,TRUE VINE CHILDCARE CENTER LLC,2850 OLD FAIRGROUND RD,ANGIER,NC,27501,Johnston,truevinechildcarecenterllc@gmail.com,,Child Care Center,(919) 756-8116,No
92003202,ANGELS' GARDEN HOME DAYCARE,2204 WALDEN CREEK DRIVE,APEX,NC,27523,Wake,angelsgardenhd@gmail.com,,Family Child Care Home,(919) 667-8187,Yes
92003307,"APEX PEAK SCHOOLS, INC.",432 E WILLIAMS STREET,APEX,NC,27502,Wake,vclark@apexpeakschools.com,,Child Care Center,(919) 267-8557,No
92003012,BRIGHT BEGINNINGS AND BEYOND,621 SWEET LAUREL LANE,APEX,NC,27523,Wake,brightbeginningsandbeyond@gmail.com,,Family Child Care Home,(919) 608-3984,No
92000836,BRIGHT HORIZONS CHILDREN'S CTR'S AT SHEPHERD'S VI,2051 SHEPHERD VINEYARD DRIVE,APEX,NC,27502,Wake,cherron.williams@brighthorizons.com,,Child Care Center,(919) 363-4556,Yes
92003424,BRIGHT START CHILD CARE LLC,1910 WHITE DOGWOOD ROAD,APEX,NC,27502,Wake,jpshetty1231@gmail.com,,Family Child Care Home,(919) 817-6727,Yes
92001902,CHILDREN'S CHOICE,7960 SMITH ROAD,APEX,NC,27539,Wake,evakearse@bellsouth.net,,Family Child Care Home,(919) 362-0778,Yes
92003731,CHILDREN'S LIGHTHOUSE OF APEX,2001 APEX PEAKWAY,APEX,NC,27502,Wake,apex@childrenslighthouse.com,www.childrenslighthouse.com/apex,Child Care Center,(919) 924-0401,No
92003485,CREATIVE SCHOOLS OF APEX,1201 OLD RALEIGH RD,APEX,NC,27502,Wake,jennifer.spiveymarshall@creativeschools.com,www.creativeschools.com,Child Care Center,(919) 355-4944,Yes
92003614,EVERBROOK ACADEMY,1001 OLIVE CHAPEL ROAD,APEX,NC,27502,Wake,4611@everbrookacademy.com,everbrookacademy.com,Child Care Center,(919) 446-4304,No
92003847,EVERBROOK ACADEMY DBA GILDEN WOODS,1005 VISION DRIVE,APEX,NC,27523,Wake,4881@everbrookacademy.com,,Child Care Center,(919) 367-6811,No
92003237,FAIRVIEW CHILDREN'S CENTER,4309 TEN TEN ROAD,APEX,NC,27539,Wake,fairviewchildrenscenter@gmail.com,https://fairviewchildrenscenter.com/,Child Care Center,(919) 362-0052,Yes
92003852,GOD IS ABLE,401 STONECREEK DRIVE,APEX,NC,27539,Wake,jhepzibah2006@yahoo.com,,Family Child Care Home,(919) 433-9375,No
92002215,KAREN'S KIDS HOME CHILD CARE,1014 EDINBURGH DOWNS LANE,APEX,NC,27502,Wake,Karkgoo@aol.com,,Family Child Care Home,(919) 372-1653,No
92003442,KIDTOWNE AT HOPE COMMUNITY CHURCH - APEX,2080 EAST WILLIAMS STREET,APEX,NC,27539,Wake,christyl@gethope.net,,Child Care Center,(919) 629-6570,No
92003797,KINDERCARE EDUCATION,1815 OLIVE CHAPEL RD,APEX,NC,27502,Wake,apex@kindercare.com,,Child Care Center,(919) 629-4813,No
92003754,LIGHTBRIDGE ACADEMY APEX,1075 NEWLAND AVE,APEX,NC,27523,Wake,apex_nc@lightbridgeacademy.com,www.lightbridgeacademy.com/apex,Child Care Center,(919) 367-9175,No
92003416,MONTESSORI CREATIVE LEARNING SCHOOL,402 UPCHURCH STREET,APEX,NC,27502,Wake,teach.mcls@gmail.com,,Child Care Center,(919) 372-8181,Yes
92001637,MORAVICK FAMILY DAY CARE,1814 MISTY HOLLOW LANE,APEX,NC,27502,Wake,cmoravick@bellsouth.net,,Family Child Care Home,(919) 367-7579,No
92002049,NICOLE MILLER'S FAMILY CHILDCARE HOME,1124 WOODLANDS CREEKWAY,APEX,NC,27502,Wake,nikim68@msn.com,,Family Child Care Home,(919) 480-5672,No
92003169,PEACE MONTESSORI SCHOOL,2190 NORTH SALEM STREET SUITE 103,APEX,NC,27523,Wake,smbryant@bellsouth.net,www.peacemontessorischool.com,Child Care Center,(919) 363-2461,No
92003528,PRIMROSE SCHOOL AT WEST LAKE,4501 WEST LAKE RD,APEX,NC,27539,Wake,sonali@primrosewestlake.com,www.primroseschools.com/schools/west-lake/,Child Care Center,(919) 662-1322,No
92003332,PRIMROSE SCHOOL OF APEX,1710 LAURA DUNCAN RD,APEX,NC,27502,Wake,kstockman@primroseapex.com,,Child Care Center,(919) 339-3874,Yes
92003809,SOUTH KILDAIRE KINDERCARE,3901 KILDAIRE FARM RD,APEX,NC,27539,Wake,danielle.hayes@kindercare.com,,Child Care Center,(919) 303-7767,Yes
92000022,STELLA LOWERY SMALL DAY CARE HOME,102 OAKLAND ROAD,APEX,NC,27539,Wake,elenalowery@charter.net,,Family Child Care Home,(919) 616-0345,No
92003683,THE GODDARD SCHOOL APEX GREEN LEVEL WEST,3701 GREEN LEVEL WEST RD,APEX,NC,27523,Wake,apex2nc@goddardschools.com,,Child Care Center,(919) 258-2000,Yes
92003205,THE GODDARD SCHOOL OF APEX,903 OLIVE CHAPEL ROAD,APEX,NC,27502,Wake,dapexnc@goddardschools.com,www.goddardschool.com,Child Care Center,(919) 362-3999,Yes
92003593,THE GROWING YEARS LEARNING CENTER - APEX,470 W WILLIAMS ST,APEX,NC,27502,Wake,kmckinnie@tgykids.com,222.tgykids.com,Child Care Center,(919) 387-8189,Yes
92003504,THE LEARNING EXPERIENCE,560 EVENING STAR DRIVE,APEX,NC,27502,Wake,apex@tlechildcare.com,apex.tlechildcare.com,Child Care Center,(919) 303-7475,Yes
9205324,VICKIE L. VAUGHN DAY CARE HOME,410 E CHATHAM ST,APEX,NC,27502,Wake,vlvaughn11@gmail.com,,Family Child Care Home,(919) 362-7702,No
76000375,CHILDCARE NETWORK #146,5500 OLD THOMASVILLE ROAD,ARCHDALE,NC,27263,Randolph,cni146@childcarenetwork.com,www.childcarenetwork.net,Child Care Center,(336) 882-1004,Yes
76000454,CLOVERDALE CHILD CARE MINISTRIES,2502 SURRETT DR,ARCHDALE,NC,27263,Randolph,sjohnson810@aol.com,,Child Care Center,(336) 886-4753,Yes
76000254,FIRST CHURCH OF GOD DAYSCHOOL,7009 WEANT RD,ARCHDALE,NC,27263,Randolph,dayschool@archdale1stchurch.com,,Child Care Center,(336) 431-1336,Yes
7605267,KAY MOOREFIELD'S DAY CARE HOME,5863 PROSPECT STREET,ARCHDALE,NC,27263,Randolph,kenskay1@aol.com,,Family Child Care Home,(336) 354-8568,No
76000484,LITTLE BLESSINGS CHILDCARE,4659 HUFF ROAD,ARCHDALE,NC,27263,Randolph,sixgrooms@yahoo.com,,Family Child Care Home,(336) 847-6807,Yes
76000511,THE NEST SCHOOL,6020 SUITS ROAD,ARCHDALE,NC,27263,Randolph,Archdale@thenestschool.com,,Child Care Center,(336) 861-8600,Yes
76000394,TRINDALE ELEMENTARY SCHOOL PREK,400 BALFOUR DRIVE,ARCHDALE,NC,27263,Randolph,mmarley@randolph.k12.nc.us,,Child Care Center,(336) 434-1516,No
11000927,AVERY'S CREEK HEAD START,15 PARK SOUTH BLVD,ARDEN,NC,28704,Buncombe,shawn.wolff@ar4ca.org,https://communityactionopportunities.org/head-start/,Child Care Center,(828) 776-0471,No
11000711,CAROLINA ACADEMY,15 BRIAN BLVD,ARDEN,NC,28704,Buncombe,tinahensleyusa@aol.com,,Child Care Center,(828) 681-0204,Yes
11000729,CHILDCARE NETWORK # 178,3749 SWEETEN CREEK ROAD,ARDEN,NC,28704,Buncombe,cni178@cnikids.com,,Child Care Center,(828) 681-5250,Yes
11000761,CHILDCARE NETWORK #178 B,3749 SWEETEN CREEK ROAD,ARDEN,NC,28704,Buncombe,cni178@cnikids.com,,Child Care Center,(828) 681-5250,Yes
11000599,GLEN ARDEN ELEMENTARY HEAD START,50 PINEHURST CIRCLE,ARDEN,NC,28704,Buncombe,shawn.wolff@communityactionopportunities.org,,Child Care Center,(828) 252-2495,Yes
11000823,"HIS WATCHMEN CHILDCARE, INC.",140 HEYWOOD ROAD,ARDEN,NC,28704,Buncombe,kim@hiswatchmen.com,,Child Care Center,(828) 687-4086,Yes
11000421,KIDS KOUNTRY KLUB HOUSE,2251 HENDERSONVILLE RD,ARDEN,NC,28704,Buncombe,mstipton@bellsouth.net,,Child Care Center,(828) 684-9170,Yes
11000861,MONTESSORI FOOTPRINTS LEARNING CENTER,158 BRADLEY BRANCH ROAD,ARDEN,NC,28704,Buncombe,penny@montessorifootprints.org,,Child Care Center,(828) 483-6869,No
41001211,PLEASANT GARDEN ELEMENTARY ACES PROGRAM,4833 PLEASANT GARDEN ROAD,PLEASANT GARDEN,NC,27313,Guilford,stewara3@gcsnc.com,,Child Care Center,(336) 674-4321,Yes
41002130,PLEASANT GARDEN ELEMENTARY NC PRE-K PROGRAM,4833 PLEASANT GARDEN ROAD,PLEASANT GARDEN,NC,27313,Guilford,lordm@gcsnc.com,,Child Care Center,(336) 674-4321,No
11000668,YMCA AVERY'S CREEK AFTERSCHOOL,15 PARK SOUTH BOULEVARD,ARDEN,NC,28704,Buncombe,wdeter@ymcawnc.org,,Child Care Center,(828) 585-4016,Yes
11000672,YMCA GLEN ARDEN AFTERSCHOOL,50 PINEHURST CIRCLE,ARDEN,NC,28704,Buncombe,wdeter@ymcawnc.org,,Child Care Center,(828) 775-7091,Yes
76000505,A CHILD'S JOURNEY,1801 SOUTH FAYETTEVILL STREET,ASHEBORO,NC,27205,Randolph,kathryn@journeyasheboro.com,,Child Care Center,(336) 736-8720,No
76000507,BEACON CHILD DEVELOPMENT CENTER,616 ALBERMARLE ROAD,ASHEBORO,NC,27203,Randolph,hsojazs@gmail.com,,Child Care Center,(336) 628-0640,Yes
76000430,BEAUTIFUL BEGINNINGS KHILDCARE,710 GRACELAND DRIVE,ASHEBORO,NC,27205,Randolph,aishaperson77@gmail.com,,Family Child Care Home,(336) 963-1266,Yes
76000416,BUILDING BLOCKS CHRISTIAN ACADEMY,1410-M NORTH FAYETTEVILLE ST,ASHEBORO,NC,27203,Randolph,buildingblocks4tinytots@yahoo.com,,Child Care Center,(336) 683-5206,Yes
76000141,CONNIE H. REDDING HEAD START,118 VIRGINIA AVE,ASHEBORO,NC,27203,Randolph,Dtimmons@regionalcs.org,,Child Care Center,(336) 672-5570,Yes
76000481,CREATIVE KIDS PRESCHOOL AND CHILDCARE CENTER,1016 S COX ST,ASHEBORO,NC,27203,Randolph,hgrant2005@yahoo.com,,Child Care Center,(336) 736-4861,No
76000222,EARLY CHILDHOOD DEVELOPMENT CENTER,1738 N FAYETTEVILLE STREET,ASHEBORO,NC,27203,Randolph,hwhite@asheboro.k12.nc.us,,Child Care Center,(336) 672-6636,No
76000235,EARLY CHILDHOOD DEVELOPMENT CENTER #2,1738 N FAYETTEVILLE ST,ASHEBORO,NC,27203,Randolph,hwhite@asheboro.k12.nc.us,,Child Care Center,(336) 672-6636,Yes
7659004,FAYETTEVILLE STREET BAPTIST CHURCH DAY CARE,901 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,27203,Randolph,smaness@fscspatriots.org,,Child Care Center,(336) 625-6409,No
76000268,FIRST STEPS EARLY LEARNING CENTER,2511 SOUTH FAYETTEVILLE STREET,ASHEBORO,NC,27205,Randolph,firststepselc@embarqmail.com,www.firststepselc.com,Child Care Center,(336) 629-7837,Yes
76000496,HARMONY PLACE,312 WEST WARD STREET,ASHEBORO,NC,27203,Randolph,harmonyplacechildren@gmail.com,,Child Care Center,(336) 633-1888,Yes
76000010,NEIGHBORS GROVE CHILD DEVELOPMENT CENTER,1928 N FAYETTEVILLE STREET,ASHEBORO,NC,27203,Randolph,tamicdc@centurylink.net,,Child Care Center,(336) 672-3232,Yes
76000467,NOAH'S ARK PLAYSCHOOL,2012 OLD FARMER RD,ASHEBORO,NC,27205,Randolph,noahsarkplayschool@outlook.com,,Child Care Center,,Yes
76000501,NORTH ASHEBORO HEAD START,1822 N FAYETTEVILLE STREET UNIT D,ASHEBORO,NC,27203,Randolph,dtimmons@regionalcs.org,,Child Care Center,(336) 736-8895,No
76000002,PRECIOUS MEMORIES PRESCHOOL,309 E SALISBURY STREET,ASHEBORO,NC,27203,Randolph,dawngreene0724@gmail.com,,Child Care Center,(336) 629-5449,Yes
76000299,SHEKINAH GLORY CHILDCARE CENTER,632 ALLRED STREET,ASHEBORO,NC,27203,Randolph,fonvillek@yahoo.com,,Family Child Care Home,(336) 629-3304,Yes
76000278,SHEPHERD'S WAY DAY SCHOOL,1346 OLD COX ROAD,ASHEBORO,NC,27205,Randolph,shepherdsway@swds.org,,Child Care Center,(336) 626-0888,Yes
76000288,SOUTHMONT SMART START,2497 SOUTHMONT DRIVE,ASHEBORO,NC,27205,Randolph,tratliff@randolph.k12.nc.us,,Child Care Center,(336) 625-1558,No
76000393,TABERNACLE ELEMENTARY SCHOOL PRE-K,4901 TABERNACLE SCHOOL RD,ASHEBORO,NC,27205,Randolph,lconnor@randolph.k12.nc.us,,Child Care Center,(336) 629-3533,No
76000136,TEDDY BEAR CHILD CARE CENTER,1552 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,27203,Randolph,tbccc1@hotmail.com,,Child Care Center,(336) 672-6777,Yes
7655094,THE CHILDREN'S CENTER OF ASHEBORO #1,1267 EAST SALISBURY STREET,ASHEBORO,NC,27203,Randolph,thechildrenscenter@yahoo.com,,Child Care Center,(336) 626-2901,Yes
7655095,"THE CHILDREN'S CENTER OF ASHEBORO, LLC #2",1267 E SALISBURY STREET,ASHEBORO,NC,27203,Randolph,thechildrenscenter@yahoo.com,,Child Care Center,(336) 626-2901,Yes
7659008,THE GROWING PLACE,133 N CHURCH STREET,ASHEBORO,NC,27203,Randolph,kdavis@fbcasheboro.com,www.fcasheboro.com/tgp,Child Care Center,(336) 626-5888,Yes
76000469,THE KIDS OF HOPE LLC,203 ENGLISH ST,ASHEBORO,NC,27203,Randolph,thekidsofhope@hotmail.com,,Child Care Center,(336) 963-9440,Yes
76000500,TOTALLY AWESOME KIDS PRESCHOOL LLC,314 NORTH COX STREET,ASHEBORO,NC,27203,Randolph,fscslawson@yahoo.com,,Child Care Center,(336) 953-8325,No
76000350,TROGDON'S DAY CARE,329 NEWBERN AVENUE,ASHEBORO,NC,27205,Randolph,trogdondaycare@triad.rr.com,,Child Care Center,(336) 629-3578,Yes
1155046,A.C. REYNOLDS CHILD CARE,1 ROCKET DRIVE,ASHEVILLE,NC,28803,Buncombe,doris.sellers@bcsemail.org,,Child Care Center,(828) 298-2543,Yes
11000909,ALL KIDS ACADEMY LLC,152 WEAVERVILLE ROAD,ASHEVILLE,NC,28804,Buncombe,academyallkids@gmail.com,,Child Care Center,(828) 658-3466,Yes
11000185,ANNETTE'S DAY CARE,230 BARTON ROAD,ASHEVILLE,NC,28804,Buncombe,stumpcrazy@aol.com,,Family Child Care Home,(828) 658-0360,Yes
1155191,ASHEVILLE CATHOLIC SCHOOL,12 CULVERN STREET,ASHEVILLE,NC,28804,Buncombe,ruhler@students.ashevillecatholic.org,,Child Care Center,(828) 252-7896,No
1153238,ASHEVILLE HIGH CHILD CARE CENTER,419 MCDOWELL STREET,ASHEVILLE,NC,28803,Buncombe,Susanna.Smith@acsgmail.net,,Child Care Center,(828) 350-2900,Yes
11000138,ASHEVILLE JEWISH COMMUNITY CENTER,236 CHARLOTTE STREET,ASHEVILLE,NC,28801,Buncombe,Tiffany@jcc-asheville.org,,Child Care Center,(828) 253-0701,Yes
11000691,ASHEVILLE MONTESSORI SCHOOL NORTH,360 WEAVERVILLE HIGHWAY,ASHEVILLE,NC,28804,Buncombe,ams_north@frontier.com,,Child Care Center,(828) 645-3433,No
1155158,BEV'S DAY CARE,89 SALOLA ST,ASHEVILLE,NC,28806,Buncombe,beverlyb863@charter.net,,Child Care Center,(828) 258-2489,Yes
