License,ADDRESS,LATITUDE,LONGITUDE,Name,Street,City,State,Zip,Country,Email,Website,Type,Phone,subsidized,ImageFile
63000536,"605, Sanborn Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.12950912,-79.43827741,ROW'S SWEET TOTS,605 SANBORN ST,ABERDEEN,NC,28315,Moore,msgalbreath@live.com,,Family Child Care Home,(910) 286-0847,No,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
63000509,"333, Glasgow Street, Aberdeen, Moore County, North Carolina, 28315, United States",35.12488422,-79.42586224,SAVE THE CHILDREN ABERDEEN HEAD START ACADEMY,333 GLASGOW ST,ABERDEEN,NC,28315,Moore,ewashington@savechildren.org,,Child Care Center,(910) 294-6908,No,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
30000103,"3179, Cornatzer Road, Advance, Davie County, North Carolina, 27006, United States",35.94666025,-80.41541332,DCS SHADY GROVE PRESCHOOL,3179 CORNATZER ROAD,ADVANCE,NC,27006,Davie,nuckollsp@davie.k12.nc.us,,Child Care Center,(336) 998-4719,No,/static/images/ryan-fields-Xz7MMD5tZwA-unsplash.jpg
46000054,"301, South Street, Ahoskie, Hertford County, North Carolina, 27910, United States",36.284947,-76.989451,ACC CHILD CARE CENTER,301 SOUTH ST,AHOSKIE,NC,27910,Hertford,deneanew2@gmail.com,,Child Care Center,(252) 209-0540,Yes,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
46000151,"112, Pinewood Drive, Ahoskie, Hertford County, North Carolina, 27910, United States",36.29319328,-77.00020873,BE THE CHANGE EDUCATION CENTER,112 PINEWOOD DRIVE,AHOSKIE,NC,27910,Hertford,bethechangeedu@yahoo.com,,Family Child Care Home,(252) 287-5090,No,/static/images/tanaphong-toochinda-GagC07wVvck-unsplash.jpg
46000057,"Holloman Avenue, Ahoskie, Hertford County, North Carolina, 27910, United States",36.293276,-76.975521,REHOBOTH EDUCATIONAL SERVICES CHILDCARE PROGRAMS,415 E HOLLOMAN AVE,AHOSKIE,NC,27910,Hertford,tqmelendez@gmail.com,,Child Care Center,(252) 332-8700,Yes,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
84000139,"123, Morningside Avenue, Heathwood, Albemarle, Stanly County, North Carolina, 28001, United States",35.34955512,-80.16877638,A LITTLE PIECE OF HEAVEN,123 MORNINGSIDE AVE,ALBEMARLE,NC,28001,Stanly,heavenly28001@yahoo.com,,Family Child Care Home,(980) 439-3170,Yes,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
84000272,"202, Northeast Connector, Centurion Park, Albemarle, Stanly County, North Carolina, 28001, United States",35.38567989,-80.19171581,ALIVIA'S PLAYHOUSE HOME DAYCARE,202 NE CONNECTOR,ALBEMARLE,NC,28001,Stanly,cagle_bridget62@yahoo.com,,Family Child Care Home,(980) 439-4424,Yes,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
84000286,"135, Leonard Avenue, Albemarle, Stanly County, North Carolina, 28001, United States",35.35175944,-80.17700125,EAGLES ACADEMY,135 LEONARD AVE,ALBEMARLE,NC,28001,Stanly,eaglesacademyeducationalcenter@gmail.com,,Child Care Center,(704) 550-5496,No,/static/images/baby-1317604_640.jpg
84000246,"1810, Badin Road, Heathwood, Albemarle, Stanly County, North Carolina, 28001, United States",35.3526766,-80.16768673,"J & S BLESSED DAYCARE II, LLC",1810 BADIN ROAD,ALBEMARLE,NC,28001,Stanly,jands.daycare2@gmail.com,,Child Care Center,(704) 985-0178,Yes,/static/images/ryan-fields-Xz7MMD5tZwA-unsplash.jpg
84000162,"632, Elizabeth Avenue, Albemarle, Stanly County, North Carolina, 28001, United States",35.34936385,-80.19041261,JUST US KIDS DAY CARE,632 ELIZABETH AVE,ALBEMARLE,NC,28001,Stanly,justuskids86@yahoo.com,,Family Child Care Home,(704) 983-5074,Yes,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
8451024,"32479, Pennington Road, Albemarle, Stanly County, North Carolina, 28001, United States",35.372035,-80.227718,KIDDIE KARE DAY CARE CENTER,32479 PENNINGTON RD,ALBEMARLE,NC,28001,Stanly,dpcardwell19@gmail.com,www.KiddieKareOfAlbemarle.com,Child Care Center,(704) 982-2983,Yes,/static/images/car-care.jpg
84000269,"Concord Road, Albemarle, Stanly County, North Carolina, 28001, United States",35.354279,-80.215055,KIDS CORNER LEARNING CENTER LLC,608 CONCORD ROAD,ALBEMARLE,NC,28001,Stanly,hollib26@gmail.com,,Child Care Center,(704) 550-9147,Yes,/static/images/felipe-ferreira-XJhQqIqSwFg-unsplash.jpg
84000182,"1029, East Main Street, Albemarle, Stanly County, North Carolina, 28001, United States",35.35247171,-80.18470686,LITTLE CREATIONS DAY CENTER,1029 EAST MAIN STREET,ALBEMARLE,NC,28001,Stanly,dbrown1057@scc.stanly.edu,,Family Child Care Home,(704) 983-0186,Yes,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
84000046,"1210, Freeman Avenue, Albemarle, Stanly County, North Carolina, 28001, United States",35.35378761,-80.17935206,LITTLE FRIENDS CHILD DEVELOPMENT CENTER,1210 FREEMAN AVENUE,ALBEMARLE,NC,28001,Stanly,littlefriends1990@gmail.com,,Child Care Center,(704) 983-6610,Yes,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
84000270,"1302, Mountain Creek Road, Cedar Knolls, Albemarle, Stanly County, North Carolina, 28001, United States",35.39039517,-80.1844203,LOVE-N-CARE II,1302 MOUNTAIN CREEK ROAD,ALBEMARLE,NC,28001,Stanly,summer@love-n-care.com,,Child Care Center,(704) 982-1079,Yes,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
84000271,"534, Coble Avenue, Albemarle, Stanly County, North Carolina, 28001, United States",35.34436272,-80.2092692,LOVE-N-CARE WEST,534 COBLE AVENUE,ALBEMARLE,NC,28001,Stanly,director@love-n-care.com,,Child Care Center,(704) 983-6416,Yes,/static/images/baby-1317604_640.jpg
84000159,"634, Mountain Place, Albemarle, Stanly County, North Carolina, 28001, United States",35.36394969,-80.14069751,ROBINSON DAYCARE,634 MOUNTAIN PL,ALBEMARLE,NC,28001,Stanly,sweetc28001@yahoo.com,,Family Child Care Home,(704) 983-5521,Yes,/static/images/rod-long-89bQBucvJdw-unsplash.jpg
84000282,"405, Davis Street, Albemarle, Stanly County, North Carolina, 28001, United States",35.34565358,-80.19017908,SAVE THE CHILDREN ALBEMARLE HEAD START ACADEMY,405 DAVIS ST,ALBEMARLE,NC,28001,Stanly,tholmes@savechildren.org,,Child Care Center,(910) 294-6918,No,/static/images/baby-1317604_640.jpg
84000261,"Sweet Home Church Road, Anderson Heights, Albemarle, Stanly County, North Carolina, 28001, United States",35.352209,-80.143703,TILLERY ACADEMY,28812 SWEET HOME CHURCH ROAD,ALBEMARLE,NC,28001,Stanly,director@tilleryacademy.com,,Child Care Center,(704) 983-4618,Yes,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
4351943,"309, North Hickory Street, Angier, Harnett County, North Carolina, 27501, United States",35.51171178,-78.73330482,ANGIER BAPTIST CHURCH DAY CARE,309 HICKORY STREET,ANGIER,NC,27501,Harnett,angierbaptistdaycare@yahoo.com,,Child Care Center,(919) 639-2051,Yes,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
43000585,"Angier Elementary School, 130, East McIver Street, Angier, Harnett County, North Carolina, 27501, United States",35.5031011,-78.7362366,ANGIER ELEMENTARY SCHOOL,130 E MCIVER ST,ANGIER,NC,27501,Harnett,ehodge@harnett.k12.nc.us,,Child Care Center,(919) 639-6620,No,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
43000575,"143, Fish Drive, Angier, Harnett County, North Carolina, 27501, United States",35.50762441,-78.74969653,ECMHSP ANGIER EDUCATIONAL CAMPUS,143 FISH DRIVE,ANGIER,NC,27501,Harnett,ncody@ecmhsp.org,,Child Care Center,(919) 639-3319,No,/static/images/erika-fletcher-YfNWGrQI3a4-unsplash.jpg
43000350,"32, South Poplar Street, Angier, Harnett County, North Carolina, 27501, United States",35.50652345,-78.73642264,LITTLE MAGIC ONE'S CHILD CARE ACADEMY,32 S POPLAR STREET,ANGIER,NC,27501,Harnett,littlemagiconescca7883@yahoo.com,,Child Care Center,(919) 275-9622,Yes,/static/images/felipe-ferreira-XJhQqIqSwFg-unsplash.jpg
43000533,"North Harnett Primary School, 282, North Harnett School Road, Town of Angier, Harnett County, North Carolina, 27501, United States",35.47788065,-78.77947559,NORTH HARNETT PRIMARY SCHOOL,282 NORTH HARNETT SCHOOL RD,ANGIER,NC,27501,Harnett,lwilliams1@harnett.k12.nc.us,,Child Care Center,(919) 639-4480,No,/static/images/car-care.jpg
43000415,"East Depot Street, Angier, Harnett County, North Carolina, 27501, United States",35.5067979,-78.7325642,TEA TYME LEARNING CENTER #2,122 EAST DEPOT STREET,ANGIER,NC,27501,Harnett,Pamwhite19@yahoo.com,,Child Care Center,(919) 639-5450,Yes,/static/images/bbc-creative-1w20Cysy1cg-unsplash.jpg
43000584,"The Village Learning Academy, 921, North Raleigh Street, Angier, Harnett County, North Carolina, 27501, United States",35.5206071,-78.7420297,THE VILLAGE LEARNING ACADEMY,921 N RALEIGH ST,ANGIER,NC,27501,Harnett,villagelearningacademy@gmail.com,,Child Care Center,(919) 639-6615,Yes,/static/images/car-care.jpg
51000893,"Lesley Thomas Event Center Inc., 2850, Old Fairground Road, Johnson Crossroads, Town of Angier, Johnston County, North Carolina, 27501, United States",35.5152188,-78.6048957,TRUE VINE CHILDCARE CENTER LLC,2850 OLD FAIRGROUND RD,ANGIER,NC,27501,Johnston,truevinechildcarecenterllc@gmail.com,,Child Care Center,(919) 756-8116,No,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
92003202,"2204, Walden Creek Drive, Apex, Wake County, North Carolina, 27523, United States",35.75565764,-78.87880311,ANGELS' GARDEN HOME DAYCARE,2204 WALDEN CREEK DRIVE,APEX,NC,27523,Wake,angelsgardenhd@gmail.com,,Family Child Care Home,(919) 667-8187,Yes,/static/images/car-care.jpg
92003307,"432, East Williams Street, Apex, Wake County, North Carolina, 27502, United States",35.72545197,-78.84943579,"APEX PEAK SCHOOLS, INC.",432 E WILLIAMS STREET,APEX,NC,27502,Wake,vclark@apexpeakschools.com,,Child Care Center,(919) 267-8557,No,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
92003012,"621, Sweet Laurel Lane, Ellington Place, Apex, Wake County, North Carolina, 27523, United States",35.75703315,-78.82925272,BRIGHT BEGINNINGS AND BEYOND,621 SWEET LAUREL LANE,APEX,NC,27523,Wake,brightbeginningsandbeyond@gmail.com,,Family Child Care Home,(919) 608-3984,No,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
92003424,"1910, White Dogwood Road, Amherst, Apex, Wake County, North Carolina, 27502, United States",35.73174975,-78.86937819,BRIGHT START CHILD CARE LLC,1910 WHITE DOGWOOD ROAD,APEX,NC,27502,Wake,jpshetty1231@gmail.com,,Family Child Care Home,(919) 817-6727,Yes,/static/images/baby-1317604_640.jpg
92003731,"Apex Peakway, Amherst, Apex, Wake County, North Carolina, 27502, United States",35.7319733,-78.8684515,CHILDREN'S LIGHTHOUSE OF APEX,2001 APEX PEAKWAY,APEX,NC,27502,Wake,apex@childrenslighthouse.com,www.childrenslighthouse.com/apex,Child Care Center,(919) 924-0401,No,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
92003485,"Old Raleigh Road, Apex, Wake County, North Carolina, 27502, United States",35.7338428,-78.8416898,CREATIVE SCHOOLS OF APEX,1201 OLD RALEIGH RD,APEX,NC,27502,Wake,jennifer.spiveymarshall@creativeschools.com,www.creativeschools.com,Child Care Center,(919) 355-4944,Yes,/static/images/ryan-fields-Xz7MMD5tZwA-unsplash.jpg
92003614,"Olive Chapel Road, Apex, Wake County, North Carolina, 27502, United States",35.7365052,-78.8915251,EVERBROOK ACADEMY,1001 OLIVE CHAPEL ROAD,APEX,NC,27502,Wake,4611@everbrookacademy.com,everbrookacademy.com,Child Care Center,(919) 446-4304,No,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
92003847,"1005, Vision Drive, Apex, Wake County, North Carolina, 27523, United States",35.74909642,-78.88258043,EVERBROOK ACADEMY DBA GILDEN WOODS,1005 VISION DRIVE,APEX,NC,27523,Wake,4881@everbrookacademy.com,,Child Care Center,(919) 367-6811,No,/static/images/felipe-ferreira-XJhQqIqSwFg-unsplash.jpg
92003237,"Ten Ten Road, Apex, Wake County, North Carolina, 27539, United States",35.7184145,-78.8150189,FAIRVIEW CHILDREN'S CENTER,4309 TEN TEN ROAD,APEX,NC,27539,Wake,fairviewchildrenscenter@gmail.com,https://fairviewchildrenscenter.com/,Child Care Center,(919) 362-0052,Yes,/static/images/ryan-fields-Xz7MMD5tZwA-unsplash.jpg
92003852,"401, Stonecreek Drive, Sunset Hills, Apex, Wake County, North Carolina, 27539, United States",35.68360809,-78.82828047,GOD IS ABLE,401 STONECREEK DRIVE,APEX,NC,27539,Wake,jhepzibah2006@yahoo.com,,Family Child Care Home,(919) 433-9375,No,/static/images/baby-1317604_640.jpg
92002215,"1014, Edinburgh Downs Lane, Apex, Wake County, North Carolina, 27502, United States",35.71573254,-78.89567054,KAREN'S KIDS HOME CHILD CARE,1014 EDINBURGH DOWNS LANE,APEX,NC,27502,Wake,Karkgoo@aol.com,,Family Child Care Home,(919) 372-1653,No,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
92003442,"East Williams Street, Apex, Wake County, North Carolina, 27539, United States",35.6952756,-78.8337767,KIDTOWNE AT HOPE COMMUNITY CHURCH - APEX,2080 EAST WILLIAMS STREET,APEX,NC,27539,Wake,christyl@gethope.net,,Child Care Center,(919) 629-6570,No,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
92003797,"1815, Olive Chapel Road, Apex, Wake County, North Carolina, 27502, United States",35.73442121,-78.89734046,KINDERCARE EDUCATION,1815 OLIVE CHAPEL RD,APEX,NC,27502,Wake,apex@kindercare.com,,Child Care Center,(919) 629-4813,No,/static/images/rod-long-89bQBucvJdw-unsplash.jpg
92003416,"402, Upchurch Street, Apex, Wake County, North Carolina, 27502, United States",35.72802028,-78.8606958,MONTESSORI CREATIVE LEARNING SCHOOL,402 UPCHURCH STREET,APEX,NC,27502,Wake,teach.mcls@gmail.com,,Child Care Center,(919) 372-8181,Yes,/static/images/rod-long-89bQBucvJdw-unsplash.jpg
92001637,"1814, Misty Hollow Lane, Waterford Green, Apex, Wake County, North Carolina, 27502, United States",35.72521806,-78.82427882,MORAVICK FAMILY DAY CARE,1814 MISTY HOLLOW LANE,APEX,NC,27502,Wake,cmoravick@bellsouth.net,,Family Child Care Home,(919) 367-7579,No,/static/images/car-care.jpg
92003332,"1710, Laura Duncan Road, Apex, Wake County, North Carolina, 27502, United States",35.74628569,-78.83595785,PRIMROSE SCHOOL OF APEX,1710 LAURA DUNCAN RD,APEX,NC,27502,Wake,kstockman@primroseapex.com,,Child Care Center,(919) 339-3874,Yes,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
92003205,"Goddard School, 903, Olive Chapel Road, Apex, Wake County, North Carolina, 27502, United States",35.7357413,-78.86663637,THE GODDARD SCHOOL OF APEX,903 OLIVE CHAPEL ROAD,APEX,NC,27502,Wake,dapexnc@goddardschools.com,www.goddardschool.com,Child Care Center,(919) 362-3999,Yes,/static/images/car-care.jpg
92003593,"470, West Williams Street, Apex, Wake County, North Carolina, 27502, United States",35.73148005,-78.86029379,THE GROWING YEARS LEARNING CENTER - APEX,470 W WILLIAMS ST,APEX,NC,27502,Wake,kmckinnie@tgykids.com,222.tgykids.com,Child Care Center,(919) 387-8189,Yes,/static/images/car-care.jpg
92003504,"560, Evening Star Drive, Apex, Wake County, North Carolina, 27502, United States",35.73637096,-78.89809184,THE LEARNING EXPERIENCE,560 EVENING STAR DRIVE,APEX,NC,27502,Wake,apex@tlechildcare.com,apex.tlechildcare.com,Child Care Center,(919) 303-7475,Yes,/static/images/segun-osunyomi-3BztcJxliEM-unsplash.jpg
9205324,"410, East Chatham Street, Clairmont, Apex, Wake County, North Carolina, 27502, United States",35.72892509,-78.84727274,VICKIE L. VAUGHN DAY CARE HOME,410 E CHATHAM ST,APEX,NC,27502,Wake,vlvaughn11@gmail.com,,Family Child Care Home,(919) 362-7702,No,/static/images/markus-spiske-IFCloi6PYOA-unsplash.jpg
76000454,"2502, Surrett Drive, Archdale, Randolph County, North Carolina, 27263, United States",35.90893948,-79.99775798,CLOVERDALE CHILD CARE MINISTRIES,2502 SURRETT DR,ARCHDALE,NC,27263,Randolph,sjohnson810@aol.com,,Child Care Center,(336) 886-4753,Yes,/static/images/rod-long-89bQBucvJdw-unsplash.jpg
76000254,"7009, Weant Road, Archdale, Randolph County, North Carolina, 27263, United States",35.91509694,-79.93419361,FIRST CHURCH OF GOD DAYSCHOOL,7009 WEANT RD,ARCHDALE,NC,27263,Randolph,dayschool@archdale1stchurch.com,,Child Care Center,(336) 431-1336,Yes,/static/images/erika-fletcher-YfNWGrQI3a4-unsplash.jpg
76000484,"4659, Huff Road, Archdale, Randolph County, North Carolina, 27263, United States",35.90935809,-79.9317202,LITTLE BLESSINGS CHILDCARE,4659 HUFF ROAD,ARCHDALE,NC,27263,Randolph,sixgrooms@yahoo.com,,Family Child Care Home,(336) 847-6807,Yes,/static/images/erika-fletcher-YfNWGrQI3a4-unsplash.jpg
76000511,"Suits Road, City of Archdale, Randolph County, North Carolina, 27263, United States",35.9058766,-79.9173491,THE NEST SCHOOL,6020 SUITS ROAD,ARCHDALE,NC,27263,Randolph,Archdale@thenestschool.com,,Child Care Center,(336) 861-8600,Yes,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
76000394,"400, Balfour Drive, Ravenwood, Archdale, Randolph County, North Carolina, 27263, United States",35.899827,-79.962638,TRINDALE ELEMENTARY SCHOOL PREK,400 BALFOUR DRIVE,ARCHDALE,NC,27263,Randolph,mmarley@randolph.k12.nc.us,,Child Care Center,(336) 434-1516,No,/static/images/car-care.jpg
11000711,"Carolina Academy Child Care Center, 15, Brian Boulevard, Fletcher, Buncombe County, North Carolina, 28704, United States",35.4448912,-82.53068725,CAROLINA ACADEMY,15 BRIAN BLVD,ARDEN,NC,28704,Buncombe,tinahensleyusa@aol.com,,Child Care Center,(828) 681-0204,Yes,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
11000729,"Rocky's Hot Chicken Shack (South), 3749, Sweeten Creek Road, Royal Pines, Buncombe County, North Carolina, 28704, United States",35.4736821,-82.515549,CHILDCARE NETWORK # 178,3749 SWEETEN CREEK ROAD,ARDEN,NC,28704,Buncombe,cni178@cnikids.com,,Child Care Center,(828) 681-5250,Yes,/static/images/tanaphong-toochinda-GagC07wVvck-unsplash.jpg
11000761,"Rocky's Hot Chicken Shack (South), 3749, Sweeten Creek Road, Royal Pines, Buncombe County, North Carolina, 28704, United States",35.4736821,-82.515549,CHILDCARE NETWORK #178 B,3749 SWEETEN CREEK ROAD,ARDEN,NC,28704,Buncombe,cni178@cnikids.com,,Child Care Center,(828) 681-5250,Yes,/static/images/felipe-ferreira-XJhQqIqSwFg-unsplash.jpg
11000599,"Glen Arden Elementary School, 50, Pinehurst Circle, Mountain View, Buncombe County, North Carolina, 28704, United States",35.46935955,-82.49717839,GLEN ARDEN ELEMENTARY HEAD START,50 PINEHURST CIRCLE,ARDEN,NC,28704,Buncombe,shawn.wolff@communityactionopportunities.org,,Child Care Center,(828) 252-2495,Yes,/static/images/bbc-creative-1w20Cysy1cg-unsplash.jpg
11000421,"Shell, 2251, Hendersonville Road, Arden, Buncombe County, North Carolina, 28704, United States",35.4734738,-82.52249931,KIDS KOUNTRY KLUB HOUSE,2251 HENDERSONVILLE RD,ARDEN,NC,28704,Buncombe,mstipton@bellsouth.net,,Child Care Center,(828) 684-9170,Yes,/static/images/rod-long-89bQBucvJdw-unsplash.jpg
41001211,"Pleasant Garden Elementary, 4833, Pleasant Garden Road, Pleasant Garden, Guilford County, North Carolina, 27313, United States",35.96136785,-79.7613222,PLEASANT GARDEN ELEMENTARY ACES PROGRAM,4833 PLEASANT GARDEN ROAD,PLEASANT GARDEN,NC,27313,Guilford,stewara3@gcsnc.com,,Child Care Center,(336) 674-4321,Yes,/static/images/tanaphong-toochinda-GagC07wVvck-unsplash.jpg
41002130,"Pleasant Garden Elementary, 4833, Pleasant Garden Road, Pleasant Garden, Guilford County, North Carolina, 27313, United States",35.96136785,-79.7613222,PLEASANT GARDEN ELEMENTARY NC PRE-K PROGRAM,4833 PLEASANT GARDEN ROAD,PLEASANT GARDEN,NC,27313,Guilford,lordm@gcsnc.com,,Child Care Center,(336) 674-4321,No,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
11000672,"Glen Arden Elementary School, 50, Pinehurst Circle, Mountain View, Buncombe County, North Carolina, 28704, United States",35.46935955,-82.49717839,YMCA GLEN ARDEN AFTERSCHOOL,50 PINEHURST CIRCLE,ARDEN,NC,28704,Buncombe,wdeter@ymcawnc.org,,Child Care Center,(828) 775-7091,Yes,/static/images/baby-1317604_640.jpg
76000141,"118, Virginia Avenue, Asheboro, Randolph County, North Carolina, 27203, United States",35.74639229,-79.80629173,CONNIE H. REDDING HEAD START,118 VIRGINIA AVE,ASHEBORO,NC,27203,Randolph,Dtimmons@regionalcs.org,,Child Care Center,(336) 672-5570,Yes,/static/images/zoo_monkey-uD7ZRjhgwLo-unsplash.jpg
76000481,"1016, South Cox Street, Asheboro, Randolph County, North Carolina, 27203, United States",35.69257103,-79.81325859,CREATIVE KIDS PRESCHOOL AND CHILDCARE CENTER,1016 S COX ST,ASHEBORO,NC,27203,Randolph,hgrant2005@yahoo.com,,Child Care Center,(336) 736-4861,No,/static/images/baby-1317604_640.jpg
76000222,"1738, North Fayetteville Street, North Asheboro, Asheboro, Randolph County, North Carolina, 27203, United States",35.74557659,-79.80699071,EARLY CHILDHOOD DEVELOPMENT CENTER,1738 N FAYETTEVILLE STREET,ASHEBORO,NC,27203,Randolph,hwhite@asheboro.k12.nc.us,,Child Care Center,(336) 672-6636,No,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
76000235,"1738, North Fayetteville Street, North Asheboro, Asheboro, Randolph County, North Carolina, 27203, United States",35.74557659,-79.80699071,EARLY CHILDHOOD DEVELOPMENT CENTER #2,1738 N FAYETTEVILLE ST,ASHEBORO,NC,27203,Randolph,hwhite@asheboro.k12.nc.us,,Child Care Center,(336) 672-6636,Yes,/static/images/felipe-ferreira-XJhQqIqSwFg-unsplash.jpg
7659004,"901, North Fayetteville Street, North Asheboro, Asheboro, Randolph County, North Carolina, 27203, United States",35.718736,-79.810394,FAYETTEVILLE STREET BAPTIST CHURCH DAY CARE,901 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,27203,Randolph,smaness@fscspatriots.org,,Child Care Center,(336) 625-6409,No,/static/images/bbc-creative-1w20Cysy1cg-unsplash.jpg
76000268,"2511, South Fayetteville Street, Asheboro, Randolph County, North Carolina, 27205, United States",35.67248561,-79.82055385,FIRST STEPS EARLY LEARNING CENTER,2511 SOUTH FAYETTEVILLE STREET,ASHEBORO,NC,27205,Randolph,firststepselc@embarqmail.com,www.firststepselc.com,Child Care Center,(336) 629-7837,Yes,/static/images/ryan-fields-Xz7MMD5tZwA-unsplash.jpg
76000496,"312, West Ward Street, Asheboro, Randolph County, North Carolina, 27203, United States",35.71039024,-79.81700733,HARMONY PLACE,312 WEST WARD STREET,ASHEBORO,NC,27203,Randolph,harmonyplacechildren@gmail.com,,Child Care Center,(336) 633-1888,Yes,/static/images/jordan-rowland-lfEX-fEN3zY-unsplash.jpg
76000010,"1928, North Fayetteville Street, Asheboro, Randolph County, North Carolina, 27203, United States",35.7509534,-79.8054284,NEIGHBORS GROVE CHILD DEVELOPMENT CENTER,1928 N FAYETTEVILLE STREET,ASHEBORO,NC,27203,Randolph,tamicdc@centurylink.net,,Child Care Center,(336) 672-3232,Yes,/static/images/bbc-creative-1w20Cysy1cg-unsplash.jpg
