index,Sentence,City
47," The town was founded in 1849 and is named after Dr. David Burns, who donated the land for the town's first school. The town has a population of just over 8,000 people and is located about 25 miles south of Asheville, NC.

The town is home to a number of small businesses, including a few restaurants, a grocery store, a hardware store, and a few small shops.",BURNSVILLE
48," It is home to Butner Federal Correctional Complex, a medium-security prison, and a number of other federal and state facilities. The town is also home to a number of high-tech companies, including IBM, Cree, and GlaxoSmithKline.

Butner is a great place to live and work. The schools are excellent, the cost of living is low, and the people are friendly and welcoming.",BUTNER
49," The town is home to approximately 4,000 people and is known for its rich history, beautiful landscape, and friendly community.

The town of Buxton was established in the early 1800s and was named after Dr. William Buxton, who was one of the town's original settlers. Buxton is located in the heart of the Blue Ridge Mountains and is surrounded by some of the most beautiful scenery in the country.",BUXTON
50," The town is also home to a small but thriving arts community, which is evident in the number of art galleries and studios that are located there. One of the most popular art forms in Calabash is pottery, and the town is home to several potters who create both functional and decorative pottery.

One of the most well-known potters in Calabash is Barbara Bragg. Barbara has been potting for more than 30 years, and her pottery has been featured in several art shows and galleries.",CALABASH
51," It is located about halfway between Charlotte and Greensboro, and is the county seat of Camden County. The population of Camden is about 5,000 people.

Camden is a charming town with a rich history. The town was founded in 1777, and was named for Lord Camden, who was the British Secretary of State for the American Colonies.",CAMDEN
52,"

They are people who write articles on the internet, often on their own websites or on other people's websites. They are not employed by a newspaper, magazine, or other traditional media outlet.

Some bloggers are professional writers who make a living from their blogging. Others are people who write about their personal lives, their hobbies, or their work.",CAMERON
53," It is known for its annual peach festival, which celebrates the peach harvest that takes place in the summer. The festival features a parade, a peach Queen contest, and a peach pie contest. The festival also includes a variety of other activities, such as a car show, a pet parade, and a street dance..",CANDLER
54," It is located about 30 miles west of Charlotte and has a population of just over 3,000 people. The town is best known for its annual Candor Apple Festival, which is held each October and attracts visitors from all over the region.

Candor is also home to Candor Mill, which was established in 1856 and is the oldest operating mill in North Carolina. The mill is now used as a museum and tourist attraction.",CANDOR
55," The town was founded in 1849 and was named after Canton, China, by the town's first postmaster, William H. Thomas.

The population of Canton was 3,711 as of the 2010 census. The town is the home of the historic St.",CANTON
56," Carrboro is located in Orange County, NC and is part of the Research Triangle region.

The Research Triangle region is made up of the cities of Raleigh, Durham, and Chapel Hill. The Research Triangle region is known for its high-tech industry, universities, and medical facilities.

The Research Triangle region is also known for its quality of life.",CARRBORO
57," According to Forbes, the city ranks first in the U.S. for concentration of college-educated millennials.

This is great news for businesses and professionals who are looking to relocate or expand in to the area.",CARTHAGE
58," A blog, or weblog, is simply a website where you can post text, photos, and videos. Blogging is the process of creating and publishing content on a blog.

Blogging can be a great way to share your thoughts and experiences with others, and it can also be a great way to promote your business or website. When done correctly, blogging can help you attract new visitors to your website, increase your online visibility, and build relationships with potential customers.",CARY
59," It is located about 25 miles east of Charlotte and has a population of about 2,000. The town was founded in the early 1800s and was originally known as Sandy Ridge. The town was renamed Cashiers in 1883 after a group of local investors opened a bank in the town.

Cashiers is a popular tourist destination and is home to a number of resorts and inns.",CASHIERS
60," The Catawba River, which flows through the town, is a major tributary of the Yadkin River, one of the main sources of drinking water for the City of Charlotte.

The Catawba Riverkeeper is a nonprofit organization dedicated to protecting and preserving the Catawba River and its tributaries. The Riverkeeper patrols the river and its tributaries, monitors water quality, and educates the public about the importance of the river.

The Catawba Riverkeeper is a member of the Yadkin-Pee Dee Riverkeeper Network, a group of nonprofit organizations dedicated to protecting and preserving the Yadkin River and its tributaries.",CATAWBA
61," It is a historic town that was founded in 1796. The town is located in the Sandhills region of the state and is surrounded by forests and agricultural land. The town is home to just over 1,000 residents.

The town is home to a variety of businesses and industries.",CHADBOURN
62," The town is known for its universities, research hospitals, and tech startups. The town is also known for its high quality of life, with a low cost of living, great schools, and a variety of cultural and recreational opportunities..",CHAPEL HILL
63," They use their blog to share their professional insights and clever observations with the world. They are a talented and engaging group of writers, and their blog posts are sure to entertain and inform their readers. Whether they are writing about the latest news and events in Charlotte or sharing a personal story, these bloggers know how to keep their readers engaged. They are a talented and diverse group, and their blog is a great resource for anyone who wants to learn more about Charlotte.",CHARLOTTE
64," The town was founded in the early 1800s as a Cherokee Indian Reservation. The town is located in the Appalachian Mountains and is known for its outdoor activities including hiking, fishing, and camping. The town also has a rich history and is home to the Museum of the Cherokee Indian. The museum is home to a number of exhibits that tell the story of the Cherokee Indians.",CHEROKEE
65," The town is known for its quaint Main Street, Civil War history, and annual Cherryville Christmas Parade. Cherryville is also home to a variety of small businesses, including several law firms.

One of these law firms is the Cherryville Law Office of John Q. Public.",CHERRYVILLE
66," The town is known for its furniture manufacturing and agriculture. China grove is also home to a number of small businesses, including restaurants, banks, and retail stores.

The town is served by a number of small businesses, including restaurants, banks, and retail stores. The town also has a number of manufacturing companies, including furniture and textiles.",CHINA GROVE
67," It is a progressive community with a rich history and a bright future. The town is known for its natural beauty, its friendly people, and its thriving arts community.

Claremont is home to the Claremont School of the Arts, which offers classes in music, dance, theater, and visual arts. The town also has a thriving arts community, with a number of galleries and studios.",CLAREMONT
68," At least, that’s the way it seems sometimes. Everyone wants to be one, and everyone wants to read them. But what is a blog, really?

In its simplest form, a blog is a website that is updated regularly with new content. But unlike a website, which is usually created to showcase a company or organization, a blog is written by an individual, and it usually focuses on a specific topic or set of topics.",CLAYTON
69," It is located in the center of the state, about 25 miles south of Winston-Salem and 25 miles north of Charlotte. Clemmons is a suburb of Winston-Salem and is part of Forsyth County.

The town was founded in 1849 as a stop on the railroad. Clemmons was named for General James K.",CLEMMONS
70," It is a charming, historic community that is home to many interesting and talented people. Cleveland is also home to the Cleveland County Arts Council, a non-profit organization that is dedicated to promoting and supporting the arts in Cleveland and the surrounding area.

The Cleveland County Arts Council is a vital part of the community. It sponsors art classes for adults and children, provides scholarships to talented students, and organizes many art exhibits and events.",CLEVELAND
71," It's a place where people know their neighbors and everyone is friendly. The town is also home to some of the most talented craftspeople in the country.

Climax is home to a thriving arts community. The town's annual arts and crafts festival is one of the most popular events in the area.",CLIMAX
72," The town was founded in 1808 and named after New York Governor DeWitt Clinton. The town experienced a population boom in the early 1900s when the North Carolina Railroad was constructed, making it a popular stop for passengers and freight. Clinton is located in the center of the state, making it a convenient location for travel. The town is home to a number of historic sites, including the Clinton House Museum and the Sampson County Courthouse.",CLINTON
73," The town is best known for its annual Peach Festival, which celebrates the peach harvest that takes place in the area each year. Clyde is also home to a number of small businesses, including a few restaurants, a grocery store, and a few small shops.

The town is also home to a number of small businesses, including a few restaurants, a grocery store, and a few small shops. Clyde is located about an hour west of Asheville, NC, and about two hours east of Knoxville, TN.",CLYDE
74," The town has a population of just over 1,000 people and is home to a few small businesses and a few hundred homes.

The town's only claim to fame is that it's the birthplace of NASCAR driver Dale Earnhardt, who was born in 1951. Earnhardt died in a crash at the Daytona 500 race in 2001, and his death was a major shock to the NASCAR community.

Earnhardt's death led to a major decline in the popularity of NASCAR, but the sport has seen a resurgence in recent years.",COATS
75," The town has a population of just over 1,000 people and is home to a few small businesses and a few hundred homes.

The town's only claim to fame is that it's the birthplace of NASCAR driver Dale Earnhardt, who was born in 1951. Earnhardt died in a crash at the Daytona 500 race in 2001, and his death was a major shock to the NASCAR community.

Earnhardt's death led to a major decline in the popularity of NASCAR, but the sport has seen a resurgence in recent years.",COFIELD
76," The town was founded in 1773 and was named after Coleraine, Scotland. The town is home to 2,854 residents and is the county seat of Colerain County.

The town is located in a rural area and is home to a number of small businesses. The main industries in the town are agriculture and tourism.",COLERAIN
77," The town is known for its apple orchards and annual Apple Festival. The festival, which celebrates the harvest of the town's apple orchards, is held each October and features apple pie contests, a 5K race, and a parade.

The town of Collettsville is also known for its abundance of paranormal activity. The town is said to be haunted by the ghost of a woman who was killed on the town's main road.",COLLETTSVILLE
78," The population was 42,099 at the 2010 census. In terms of population, Concord is the third largest city in the Charlotte metropolitan area.

Concord is located in the Piedmont region of the state. The city is home to a number of major manufacturing and distribution facilities, including the world's largest Coca-Cola bottling plant.",CONCORD
79," The town is home to about 1,500 people and is known for its natural beauty and the Connelly Springs waterfall, which is located in the heart of the town. The waterfall is a popular tourist destination and the town’s main attraction.

Connelly Springs was founded in the late 1800s and was originally known as “Waterfall City.” The town was established as a tourist destination and the waterfall was the main attraction.",CONNELLY SPRINGS
80," They write about everything from current events to personal experiences, and their posts are always well-written and entertaining. If you’re looking for a good laugh or some interesting insights into life in Conway, you need to check out the local bloggers’ blogs..",CONWAY
81," It was founded in 1872 by the Cooleemee Cotton Mill and is home to approximately 1,600 residents. The town is located in Davie County, which is also home to the city of Mocksville.

The town of Cooleemee is located in the Piedmont region of North Carolina. The Piedmont is a plateau that is located in the central part of the state.",COOLEEMEE
82," The town is a popular destination for trout fishermen, as the New River and its tributaries offer some of the best trout fishing in the eastern United States. The town also has a number of small businesses, most of which are located on or near Main Street.

Cordova is also home to the Appalachian School of Law, a small, private law school that is affiliated with the University of Virginia. The school is located in a renovated tobacco warehouse on the banks of the New River and has a student body of about 200 students.",CORDOVA
83," Cornelius is located about 25 miles north of Charlotte and is part of the Charlotte metropolitan area. The population of Cornelius was estimated to be 24,521 in 2016.

Cornelius is a historic town that was founded in 1759. The town was named after General Peter Cornelius, who fought in the French and Indian War and the Revolutionary War.",CORNELIUS
84," The population was listed as 983 in the 2010 census. The town was founded in 1808 and was named for the Creedmoor Plantation, which was owned by the family of General William Dorsey Pender. The town is best known for being the home of the Creedmoor Sports rifle and pistol shooting complex, which was founded in 1873. The complex is the oldest continuously running rifle and pistol shooting range in the United States.",CREEDMOOR
85," It is a charming little town with a population of about 1,000 people. The town was founded in 1881 and is known for its rich history and beautiful scenery. Crossnore is also known for its excellent schools. The town is home to the Crossnore School, a private, nonprofit, co-educational boarding school that serves students in grades K-12.",CROSSNORE
86," The town is home to Western Carolina University and the Jackson County Recreation Department. Cullowhee is also known for its trout fishing.

The Cullowhee area is home to some of the best trout fishing in the world. The Jackson County Recreation Department operates several trout streams in the area, and Western Carolina University maintains a trout hatchery.",CULLOWHEE
87," It was founded in 1854 and was named for George M. Dallas, the 11th Vice President of the United States. Dallas is located in the center of Gaston County and is surrounded by the towns of Mount Holly, Belmont, and Lowell.

The population of Dallas was 1,362 at the 2010 census.",DALLAS
88," It is a small town with a population of around 2,000 people. The town is located in the heart of the Piedmont region of the state, and is surrounded by farmland and forests.

The town was founded in the late 1800s, and was originally known as ""New Bethel."" The town was renamed ""Danbury"" in 1891, in honor of Daniel H.",DANBURY
89," It is a charming and historic community that is home to around 12,000 people. The town is located in the scenic Piedmont region of North Carolina, and is surrounded by rolling hills, forests, and farms. Davidson is a great place to live, work, and raise a family.

The town is home to Davidson College, one of the top liberal arts colleges in the country.",DAVIDSON
90," It's a charming community with a population of just over 2,000 people. The town is known for its annual 4th of July parade and its deep well that provides the town's water supply.

The town's well is also the source of its name. The well was dug in the late 1700s and is more than 1,000 feet deep.",DEEP RUN
91," The town is home to approximately 10,000 people and is the county seat of Chowan County. Edenton was founded in 1712 and is one of the oldest towns in the state.

The town is located on the Albemarle Sound, which is a large estuary that connects to the Pamlico Sound and the Atlantic Ocean. The town is a popular spot for fishing and boating, and the sound is home to a variety of aquatic life, including dolphins, seals, and pelicans.",EDENTON
92," It is a town that time seems to have forgotten. The people here are friendly and the pace is slow. It is the perfect place to get away from the hustle and bustle of the big city.

Denton is also home to some of the best barbecue in the state.",DENTON
93," The town is home to approximately 1,600 residents and is known for its friendly atmosphere and small-town charm.

Denver is located approximately 25 miles east of the state capital of Raleigh and is part of the larger Research Triangle region of North Carolina. The town is situated in a rural area and is surrounded by rolling hills and farmland.

The town was founded in 1849 and is named after General Denver, who fought in the Mexican-American War.",DENVER
94," The town has a population of just over 1,000 people, and the main industry is agriculture. Dobson is known for its annual peach festival, which celebrates the town's peach orchards.

Dobson is also home to the Dobson Flea Market, which is one of the largest flea markets in the state. The market is open every Saturday from 7:00am to 4:00pm, and it features over 200 vendors selling everything from antiques to farm animals.",DOBSON
95," The town was founded in 1849 by James Dublin, and was originally known as ""Dublin"". The town was a major stop on the Wilmington and Manchester Railroad, and was once a thriving community with several mills and businesses. However, the town declined in the early 1900s, and many of the businesses and mills closed. Today, Dublin is a quiet, rural town with a few small businesses and a strong sense of community.",DUBLIN
96, It is a town that is rich in history and tradition. The Dudley High School Wildcats are a proud part of that tradition. The Wildcats have a rich football tradition that dates back to the early 1920s. The Wildcats have won 16 state championships and have been to the playoffs 27 times.,DUDLEY
97," The town is named for James Dunn, who donated the land for the town's original railroad depot. Dunn has a population of just over 8,000 and is located approximately 30 miles south of the state capital of Raleigh.

Dunn is a picturesque town with a rich history and a bright future. The town is home to a variety of businesses and industries, including manufacturing, agriculture, and retail.",DUNN
98," The city has a population of approximately 250,000 people and is home to Duke University and North Carolina Central University. The city is also home to a number of technology companies, including IBM, Cisco, and Red Hat.

Durham is a great place to live and work. The city has a low cost of living and a high quality of life.",DURHAM
99," The town is known for its vineyards and wineries, and for its close proximity to the city of Winston-Salem. East bend is also home to a variety of small businesses, including a few restaurants, a few bed and breakfasts, and a few antique stores. The town is also home to a few small manufacturing businesses.

The town of East bend is located in the Yadkin Valley of North Carolina.",EAST BEND
100," The sandhills are a group of low, rolling hills that are covered in longleaf pine forests. The sandhills region is known for its beautiful forests, rolling hills, and crystal-clear rivers and streams.

East flat rock, NC is a great place to live, work, and play. The town is located just a few miles from the beautiful U.",EAST FLAT ROCK
101," The town is known for its small-town charm, friendly people, and its annual peach festival.

East Spencer is located in Rowan County, NC, and is part of the Piedmont Triad region of North Carolina. The town is known for its small-town charm, friendly people, and its annual peach festival. The town was founded in 1873, and its population is around 2,000 people.",EAST SPENCER
102," The town is bisected by US Highway 64, which runs east to west, and NC Highway 49, which runs north to south. The town is also bisected by the Yadkin River, which flows north to south. The town is home to the Eastover Resort, which is a popular destination for weddings and other events..",EASTOVER
103," The town is home to just over 1,000 residents and is known for its close-knit community and beautiful downtown area.

Eden is also home to a thriving business community. The town is home to a number of small businesses, including a variety of restaurants, boutiques, and service businesses. The town also has a number of larger businesses, including a major manufacturing plant and a regional hospital.",EDEN
104," The town is located in the northeastern part of the state, on the Albemarle Sound. It is a historic town, founded in 1792. The town is a popular tourist destination, with many shops and restaurants. The town is also home to the Elizabeth City State University, a historically black university.",ELIZABETH CITY
105," It is a charming, tight-knit community that is rich in history and culture. Elkin is also home to some of the most talented and skilled professionals in the area. If you are looking for a qualified accountant, lawyer, or doctor, you will find them in Elkin.

The professionals in Elkin are some of the best in the business.",ELKIN
106," The town was founded in 1875 by a man named J.D. Ellen. The town is home to a population of just over 1,000 people.",ELLENBORO
107," It is the county seat of Alamance County. The town was founded in 1849 by Joel Lane, and was originally known as ""Lane's Station"". It was renamed ""Elon"" in 1881, in honor of John Elon, a prominent local businessman. The town has a population of 9,521 as of the 2010 census.",ELON
108," The town is home to a population of just over 1,000 people and is known for its natural beauty and outdoor activities. The town is also home to Erwin Technical College, a two-year community college that offers degrees and certificates in a variety of vocational and technical fields.

Erwin Technical College is a member of the North Carolina Community College System and is accredited by the Southern Association of Colleges and Schools Commission on Colleges. The college offers associate's degrees and certificates in a variety of fields, including business, computer science, health care, manufacturing, and transportation.",ERWIN
109," It's a beautiful place, and the people who live there are friendly and down-to-earth. I grew up in Etowah, and it will always be my home.

But Etowah is more than just a beautiful place to live. It's also home to some of the best food in the world.",ETOWAH
110," The town is home to about 2,000 people and is known for its natural beauty, history, and friendly residents.

Fairmont is located about 30 minutes from the city of Fayetteville and about an hour from the city of Raleigh. The town is situated in an area that is rich in history and natural beauty. The Sandhills of North Carolina are a unique area that is characterized by rolling hills and pine forests.",FAIRMONT
111," It is situated about 25 miles north of Charlotte and is part of the Metrolina metro area. The population of Fairview is approximately 2,500 people. The town is located in Cabarrus County and is part of the Kannapolis City School District. The town was incorporated in 1911.",FAIRVIEW
112," The town is known for its agriculture and farming community. Farmville is also home to some of the best barbecue in the state.

The town was founded in 1798 and is the county seat of Pitt County. Farmville is home to Long Acres, a 4,000 acre horse farm that is open to the public.",FARMVILLE
